urg,bairro,zona_fiscal,faixa_area,area_min,area_max,valor_ufinig_m2
CENTRO,CALIFORNIA,1,"1.500,01 a 5.000 m²",1500.01,5000.0,0.984
CENTRO,CALIFORNIA,1,"5.000,01 a 20.000 m²",5000.01,20000.0,0.59
CENTRO,CALIFORNIA,1,"20.000,01 a 50.000 m²",20000.01,50000.0,0.413
CENTRO,CALIFORNIA,1,"50.000,01 a 100.000 m²",50000.01,100000.0,0.289
CENTRO,CALIFORNIA,1,"100.000,01 a 500.000 m²",100000.01,500000.0,0.231
CENTRO,CALIFORNIA,1,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.185
CENTRO,CALIFORNIA,1,acima de  1.000.000 m²,1000000.0,,0.148
CENTRO,CALIFORNIA,2,até 500 m²,0.0,500.0,2.008
CENTRO,CALIFORNIA,2,"500,01 a 1.500 m²",500.01,1500.0,1.406
CENTRO,CALIFORNIA,2,"1.500,01 a 5.000 m²",1500.01,5000.0,0.984
CENTRO,CALIFORNIA,2,"5.000,01 a 20.000 m²",5000.01,20000.0,0.59
CENTRO,CALIFORNIA,2,"20.000,01 a 50.000 m²",20000.01,50000.0,0.413
CENTRO,CALIFORNIA,2,"50.000,01 a 100.000 m²",50000.01,100000.0,0.289
CENTRO,CALIFORNIA,2,"100.000,01 a 500.000 m²",100000.01,500000.0,0.231
CENTRO,CALIFORNIA,2,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.185
CENTRO,CALIFORNIA,2,acima de  1.000.000 m²,1000000.0,,0.148
CENTRO,DA LUZ,1,até 500 m²,0.0,500.0,2.008
CENTRO,DA LUZ,1,"500,01 a 1.500 m²",500.01,1500.0,1.406
CENTRO,DA LUZ,1,"1.500,01 a 5.000 m²",1500.01,5000.0,0.984
CENTRO,DA LUZ,1,"5.000,01 a 20.000 m²",5000.01,20000.0,0.59
CENTRO,DA LUZ,1,"20.000,01 a 50.000 m²",20000.01,50000.0,0.413
CENTRO,DA LUZ,1,"50.000,01 a 100.000 m²",50000.01,100000.0,0.289
CENTRO,DA LUZ,1,"100.000,01 a 500.000 m²",100000.01,500000.0,0.231
CENTRO,DA LUZ,1,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.185
CENTRO,DA LUZ,1,acima de  1.000.000 m²,1000000.0,,0.148
CENTRO,DA LUZ,2,até 500 m²,0.0,500.0,2.008
CENTRO,DA LUZ,2,"500,01 a 1.500 m²",500.01,1500.0,1.406
CENTRO,DA LUZ,2,"1.500,01 a 5.000 m²",1500.01,5000.0,0.984
CENTRO,DA LUZ,2,"5.000,01 a 20.000 m²",5000.01,20000.0,0.59
CENTRO,DA LUZ,2,"20.000,01 a 50.000 m²",20000.01,50000.0,0.413
CENTRO,DA LUZ,2,"50.000,01 a 100.000 m²",50000.01,100000.0,0.289
CENTRO,DA LUZ,2,"100.000,01 a 500.000 m²",100000.01,500000.0,0.231
CENTRO,DA LUZ,2,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.185
CENTRO,DA LUZ,2,acima de  1.000.000 m²,1000000.0,,0.148
CENTRO,DA LUZ,3,até 500 m²,0.0,500.0,2.008
CENTRO,DA LUZ,3,"500,01 a 1.500 m²",500.01,1500.0,1.406
CENTRO,DA LUZ,3,"1.500,01 a 5.000 m²",1500.01,5000.0,0.984
CENTRO,DA LUZ,3,"5.000,01 a 20.000 m²",5000.01,20000.0,0.59
CENTRO,DA LUZ,3,"20.000,01 a 50.000 m²",20000.01,50000.0,0.413
CENTRO,DA LUZ,3,"50.000,01 a 100.000 m²",50000.01,100000.0,0.289
CENTRO,DA LUZ,3,"100.000,01 a 500.000 m²",100000.01,500000.0,0.231
CENTRO,DA LUZ,3,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.185
CENTRO,DA LUZ,3,acima de  1.000.000 m²,1000000.0,,0.148
CENTRO,DA LUZ,4,até 500 m²,0.0,500.0,2.008
CENTRO,DA LUZ,4,"500,01 a 1.500 m²",500.01,1500.0,1.406
CENTRO,DA LUZ,4,"1.500,01 a 5.000 m²",1500.01,5000.0,0.984
CENTRO,DA LUZ,4,"5.000,01 a 20.000 m²",5000.01,20000.0,0.59
CENTRO,DA LUZ,4,"20.000,01 a 50.000 m²",20000.01,50000.0,0.413
CENTRO,DA LUZ,4,"50.000,01 a 100.000 m²",50000.01,100000.0,0.289
CENTRO,DA LUZ,4,"100.000,01 a 500.000 m²",100000.01,500000.0,0.231
CENTRO,DA LUZ,4,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.185
CENTRO,DA LUZ,4,acima de  1.000.000 m²,1000000.0,,0.148
CENTRO,DA LUZ,5,até 500 m²,0.0,500.0,2.008
CENTRO,DA LUZ,5,"500,01 a 1.500 m²",500.01,1500.0,1.406
CENTRO,DA LUZ,5,"1.500,01 a 5.000 m²",1500.01,5000.0,0.984
CENTRO,DA LUZ,5,"5.000,01 a 20.000 m²",5000.01,20000.0,0.59
CENTRO,DA LUZ,5,"20.000,01 a 50.000 m²",20000.01,50000.0,0.413
CENTRO,DA LUZ,5,"50.000,01 a 100.000 m²",50000.01,100000.0,0.289
CENTRO,DA LUZ,5,"100.000,01 a 500.000 m²",100000.01,500000.0,0.231
CENTRO,DA LUZ,5,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.185
CENTRO,DA LUZ,5,acima de  1.000.000 m²,1000000.0,,0.148
CENTRO,DA LUZ,6,até 500 m²,0.0,500.0,1.506
CENTRO,DA LUZ,6,"500,01 a 1.500 m²",500.01,1500.0,1.0545
CENTRO,DA LUZ,6,"1.500,01 a 5.000 m²",1500.01,5000.0,0.738
CENTRO,DA LUZ,6,"5.000,01 a 20.000 m²",5000.01,20000.0,0.59
CENTRO,DA LUZ,6,"20.000,01 a 50.000 m²",20000.01,50000.0,0.413
CENTRO,DA LUZ,6,"50.000,01 a 100.000 m²",50000.01,100000.0,0.289
CENTRO,DA LUZ,6,"100.000,01 a 500.000 m²",100000.01,500000.0,0.231
CENTRO,DA LUZ,6,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.185
CENTRO,DA LUZ,6,acima de  1.000.000 m²,1000000.0,,0.148
CENTRO,RANCHO NOVO,1,até 500 m²,0.0,500.0,1.673
CENTRO,RANCHO NOVO,1,"500,01 a 1.500 m²",500.01,1500.0,1.171
CENTRO,RANCHO NOVO,1,"1.500,01 a 5.000 m²",1500.01,5000.0,0.82
CENTRO,RANCHO NOVO,1,"5.000,01 a 20.000 m²",5000.01,20000.0,0.492
