urg,bairro,codigo_logradouro,faixa_area,area_min,area_max,valor_ufinig_m2
CENTRO,Jardim Tropical,00327-95,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.612
CENTRO,Jardim Tropical,00327-95,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.551
CENTRO,Jardim Tropical,00327-95,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.495
CENTRO,Prata,00327-96,AT É 500 M²,0.0,500.0,3.347
CENTRO,Prata,00327-96,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,2.845
CENTRO,Prata,00327-96,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,2.276
CENTRO,Prata,00327-96,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,1.821
CENTRO,Prata,00327-96,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,1.274
CENTRO,Prata,00327-96,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.765
CENTRO,Prata,00327-96,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.612
CENTRO,Prata,00327-96,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.551
CENTRO,Prata,00327-96,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.495
CENTRO,Jardim Iguaçu,00327-97,AT É 500 M²,0.0,500.0,2.008
CENTRO,Jardim Iguaçu,00327-97,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,1.707
CENTRO,Jardim Iguaçu,00327-97,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,1.365
CENTRO,Jardim Iguaçu,00327-97,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,1.024
CENTRO,Jardim Iguaçu,00327-97,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,0.717
CENTRO,Jardim Iguaçu,00327-97,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.43
CENTRO,Jardim Iguaçu,00327-97,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.344
CENTRO,Jardim Iguaçu,00327-97,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.31
CENTRO,Jardim Iguaçu,00327-97,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.279
POSSE,Posse,00327-80,AT É 500 M²,0.0,500.0,2.008
POSSE,Posse,00327-80,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,1.707
POSSE,Posse,00327-80,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,1.365
POSSE,Posse,00327-80,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,1.024
POSSE,Posse,00327-80,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,0.717
POSSE,Posse,00327-80,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.43
POSSE,Posse,00327-80,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.344
POSSE,Posse,00327-80,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.31
POSSE,Posse,00327-80,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.279
POSSE,Cerâmica,00327-81,AT É 500 M²,0.0,500.0,2.008
POSSE,Cerâmica,00327-81,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,1.707
POSSE,Cerâmica,00327-81,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,1.365
POSSE,Cerâmica,00327-81,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,1.024
POSSE,Cerâmica,00327-81,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,0.717
POSSE,Cerâmica,00327-81,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.43
POSSE,Cerâmica,00327-81,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.344
POSSE,Cerâmica,00327-81,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.31
POSSE,Cerâmica,00327-81,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.279
POSSE,Kenned y / Caioaba,00327-82,AT É 500 M²,0.0,500.0,2.008
POSSE,Kenned y / Caioaba,00327-82,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,1.707
POSSE,Kenned y / Caioaba,00327-82,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,1.365
